chapter,verse,text
18,1,"धृतरा उवाच ।  
धमेे कुेेे समवेताययवः।  
मामकाः पाडवाैव िकमकुवत सय ॥१॥
dh®taråß†ra uvåca –
dharma-kßetre kuru-kßetre samavetå yuyutsava˙
måmakå˙ på√∂avåç caiva kim akurvata sañjaya 
Addressing Sañjaya, Emperor Dh®taråß†ra said: After 
assembling with great enthusiasm for battle at the holy 
place of Kurukßetra ( dharma-kßetra ), what did my sons and 
the sons of På√∂u do?"
18,2,"सय उवाच ।
 ा त पाडवानीकं ूढं यधनदा ।  
आचायमपस राजा वचनमवीत ्॥२॥
sañjaya uvåca –
d®ß†vå tu på√∂avånîkaµ vyü∂haµ duryodhanas tadå
åcåryam upasa∫gamya råjå vacanam abravît 
Sañjaya replied: O Emperor, at that time your son Dury -
odhana, after observing the military arrangements of the 
På√∂avas, approached his mentor Dro√a and spoke as 
follows."
18,3,"पयैतां पाडुपाणामाचाय महत चमूम ्।  
ूढां पदपेण तव िशेण धीमता ॥३॥ 
paçyaitåµ på√∂u-putrå√åm åcårya mahatîµ camüm
vyü∂håµ drupada-putre√a tava çißye√a dhîmatå 
Bhagavad-gita4
Behold, O great teacher, the military formation of the 
army of the sons of På√∂u arranged by your gifted student, 
Dh®ß†adyumna, the son of Drupada."
18,4,"अ शूरा महेासाभीमाजनसमायिध ।  
ययधानो िवराट पद महारथः ॥४॥ 
atra çürå maheßvåså bhîmårjuna-samå yudhi
yuyudhåno virå†aç ca drupadaçca mahåratha˙ 
Within those ranks are great archers who are equal to 
Bhîma and Arjuna in war such as Såtyaki, Virå†a and the 
powerful charioteer Drupada."
18,5,"धृकेतेिकतानः कािशराज वीयवान ्।  
पिजुिभोज शै नरपंगवः ॥५॥ 
dh®ß†aketuç cekitåna˙ kåçi-råjaç ca vîryavån
purujit kuntibhojaç ca çaibyaç ca narapu∫gava˙ 
Great heroes such as Dh®ß†aketu, Cekitåna, the heroic king 
of Kåçî, Purujit, Kuntibhoja and Çaibya are also present."
18,6,"यधाम िवा उमौजा वीयवान ्।  
सौभो ौपदेया सव एव महारथाः॥६॥
yudhåmanyuç ca vikrånta uttamaujåç ca vîryavån
saubhadro draupadeyåç ca sarva eva mahårathå˙ 
The chivalrous Yudhåmanyu, the courageous Uttamaujå, 
Abhimanyu the son of Subhadrå, and the sons of Draupadî 
are indeed all mighty chariot warriors.
Chapter 15"
18,7,"अाकं त िविशा ये तािबोध िजोम ।  
नायका मम सै संाथ तावीिम ते ॥७॥
asmåkaµ tu viçiß†å ye tån nibodha dvijottama
nåyakå mama sainyasya saµjñårthaµ tån bravîmi te 
However, O best of bråhma√as , you should also know who 
amongst my army is qualified to lead our military force. 
Just for your information I shall name them."
18,8,"भवाी कण कप सिमितंजयः ।  
अामा िवकण सौमदिथैव च ॥८॥ 
bhavån bhîßmaç ca kar√aç ca k®paç ca samitiñjaya˙
açvatthåmå vikar√aç ca saumadattis tathaiva ca 
Your good self as well as Bhîßma, Kar√a and K®pa are 
always victorious in battle, as well as Açvatthåmå, 
Vikar√a, Bhüriçravå and Jayadratha."
18,9,"अे च बहवः शूरा मदथ जीिवताः ।  
नानाशहरणाः सव यिवशारदाः ॥९॥
anye ca bahava˙ çürå mad-arthe tyakta-jîvitå˙
nånå-çastra-prahara√å˙ sarve yuddha-viçåradå˙ 
They are all armed with various weapons, and they are 
expert in the art of war. All of them are prepared to give 
up their very lives for my sake, as are many other warriors.
Bhagavad-gita6"
18,10,"अपयां तदाकं बलं भीािभरितम ्।  
पयां िदमेतेषां बलं भीमािभरितम ्॥१०॥ 
aparyåptaµ tad asmåkaµ balaµ bhîßmåbhirakßitam
paryåptaµ tv idam eteßåµ balaµ bhîmåbhirakßitam 
Our army, protected by the might of Bhîßma is unlimited. 
However, the strength of the opposition, protected by 
Bhîma is insufficient."
